item,itemLabel,offizielle_Website
http://www.wikidata.org/entity/Q1109165,Collegium Albertinum,
http://www.wikidata.org/entity/Q1109299,Collegium Willibaldinum,
http://www.wikidata.org/entity/Q101406566,Universität Leipzig Theologische Fakultät,
http://www.wikidata.org/entity/Q1470442,Priesterseminar Bamberg,
http://www.wikidata.org/entity/Q1667805,Internationales Priesterseminar St. Petrus,
http://www.wikidata.org/entity/Q314466,Universität Helmstedt,http://uni-helmstedt.hab.de
http://www.wikidata.org/entity/Q2399299,Technische Universität Magdeburg,
http://www.wikidata.org/entity/Q646136,Ukrainische Freie Universität München,http://www.ufu-muenchen.de/
http://www.wikidata.org/entity/Q2120211,Pädagogische Hochschule Ludwigsburg,http://www.ph-ludwigsburg.de/
http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,https://www.fu-berlin.de/
http://www.wikidata.org/entity/Q107510635,Erzbischöfliches Knabenseminar Freising,
http://www.wikidata.org/entity/Q5413406,EU Business School,https://www.euruni.edu
http://www.wikidata.org/entity/Q191426,Zeppelin Universität,https://www.zu.de/
http://www.wikidata.org/entity/Q895948,Universität Fulda,
http://www.wikidata.org/entity/Q251214,Private Hanseuniversität,http://www.hanseuni.de/
http://www.wikidata.org/entity/Q2109614,Priesterseminar Osnabrück,
http://www.wikidata.org/entity/Q2109612,Priesterseminar München,
http://www.wikidata.org/entity/Q2109619,Priesterseminar Speyer,
http://www.wikidata.org/entity/Q2358540,Studienhaus St. Lambert,
http://www.wikidata.org/entity/Q875138,Hochschule für Technik und Wirtschaft Berlin,https://www.htw-berlin.de/
http://www.wikidata.org/entity/Q1622234,Hochschule für angewandte Wissenschaften Coburg,http://www.hs-coburg.de/
http://www.wikidata.org/entity/Q1622239,Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt,http://www.fhws.de/
http://www.wikidata.org/entity/Q316592,Leucorea,http://www.leucorea.de/
http://www.wikidata.org/entity/Q414163,Akademie der Wissenschaften und der Literatur Mainz,http://www.adwmainz.de
http://www.wikidata.org/entity/Q48757710,Zacharias Frankel College,http://zacharias-frankel-college.bbgk.de/
http://www.wikidata.org/entity/Q101265587,Humboldt-Universität zu Berlin Theologische Fakultät,
http://www.wikidata.org/entity/Q101382287,Ruhr-Universität Bochum Evangelisch-Theologische Fakultät,
http://www.wikidata.org/entity/Q880228,Ehemaliges Melanchthon-Gymnasium in Altdorf bei Nürnberg,
http://www.wikidata.org/entity/Q29426438,Universität Karlsruhe,http://www.uni-karlsruhe.de/
http://www.wikidata.org/entity/Q1257371,Priesterseminar Köln,
http://www.wikidata.org/entity/Q21600206,Q21600206,
http://www.wikidata.org/entity/Q20266894,Universität Berlin,
http://www.wikidata.org/entity/Q2109629,Priesterseminar St. Petrus (Berlin),
http://www.wikidata.org/entity/Q1109275,Collegium Orientale,http://www.collegium-orientale.de
